,id,continent,location,date,total_cases_per_million,total_deaths_per_million,population,latitude,longitude
0,AFG,Asia,Afghanistan,2023-10-12,5500.286,193.295,41128771.0,33.93911,67.709953
1,ALB,Europe,Albania,2023-10-12,117541.387,1267.979,2842321.0,41.153332,20.168331
2,DZA,Africa,Algeria,2023-10-12,6055.868,153.241,44903225.0,28.033886,1.659626
3,ASM,Oceania,American Samoa,2023-10-12,188712.044,767.581,44273.0,-14.270972,-170.132217
4,AND,Europe,Andorra,2023-10-12,601367.684,1991.408,79824.0,42.546245,1.601554
5,AGO,Africa,Angola,2023-10-12,2977.662,54.399,35588987.0,-11.202692,17.873887
6,AIA,North America,Anguilla,2023-10-12,245890.282,755.81,15857.0,18.220554,-63.068615
7,ATG,North America,Antigua and Barbuda,2023-10-12,97107.879,1556.968,93763.0,17.060816,-61.796428
8,ARG,South America,Argentina,2023-10-12,220929.563,2866.866,45510318.0,-38.416097,-63.616672
9,ARM,Asia,Armenia,2023-10-12,161717.147,3147.307,2780469.0,40.069099,45.038189
10,ABW,North America,Aruba,2023-10-12,415408.749,2742.84,106445.0,12.52111,-69.968338
11,AUS,Oceania,Australia,2023-10-12,443642.476,885.802,26177413.0,-25.274398,133.775136
12,AUT,Europe,Austria,2023-10-12,680262.588,2520.69,8939617.0,47.516231,14.550072
13,AZE,Asia,Azerbaijan,2023-10-12,80438.572,997.482,10358074.0,40.143105,47.576927
14,BHS,North America,Bahamas,2023-10-12,92890.297,2058.592,409984.0,25.03428,-77.39628
15,BHR,Asia,Bahrain,2023-10-12,473167.024,1043.31,1472233.0,25.930414,50.637772
16,BGD,Asia,Bangladesh,2023-10-12,11950.654,172.192,171186372.0,23.684994,90.356331
17,BRB,North America,Barbados,2023-10-12,390770.684,2201.345,281635.0,13.193887,-59.543198
18,BLR,Europe,Belarus,2023-10-12,104251.871,746.516,9534954.0,53.709807,27.953389
19,BEL,Europe,Belgium,2023-10-12,413283.101,2946.056,11655930.0,50.503887,4.469936
20,BLZ,North America,Belize,2023-10-12,175333.407,1697.571,405272.0,17.189877,-88.49765
21,BEN,Africa,Benin,2023-10-12,2099.624,12.207,13352864.0,9.30769,2.315834
22,BMU,North America,Bermuda,2023-10-12,293737.443,2569.813,64184.0,32.321384,-64.75737
23,BTN,Asia,Bhutan,2023-10-12,80128.365,26.839,782455.0,27.514162,90.433601
24,BOL,South America,Bolivia,2023-10-12,98909.5,1832.771,12224110.0,-16.290154,-63.588653
25,BIH,Europe,Bosnia and Herzegovina,2023-10-12,124688.189,5057.94,3233526.0,43.915886,17.679076
26,BWA,Africa,Botswana,2023-10-12,125568.947,1064.517,2630296.0,-22.328474,24.684866
27,BRA,South America,Brazil,2023-10-12,175194.534,3272.712,215313498.0,-14.235004,-51.92528
28,VGB,North America,British Virgin Islands,2023-10-12,233148.219,2042.64,31305.0,18.420695,-64.639968
29,BRN,Asia,Brunei,2023-10-12,694014.726,363.027,449002.0,4.535277,114.727669
30,BGR,Europe,Bulgaria,2023-10-12,192007.762,5664.148,6781953.0,42.733883,25.48583
31,BFA,Africa,Burkina Faso,2023-10-12,972.754,17.465,22673762.0,12.238333,-1.561593
32,BDI,Africa,Burundi,2023-10-12,4217.825,1.164,12889576.0,-3.373056,29.918886
33,KHM,Asia,Cambodia,2023-10-12,8286.154,182.254,16767842.0,12.565679,104.990963
34,CMR,Africa,Cameroon,2023-10-12,4481.177,70.716,27914536.0,7.369722,12.354722
35,CAN,North America,Canada,2023-10-12,122644.322,1385.982,38454327.0,56.130366,-106.346771
36,CPV,Africa,Cape Verde,2023-10-12,108572.363,699.64,593149.0,16.002082,-24.013197
37,CYM,North America,Cayman Islands,2023-10-12,457961.061,538.401,68706.0,19.513469,-80.566956
38,CAF,Africa,Central African Republic,2023-10-12,2754.363,20.254,5579144.0,6.611111,20.939444
39,TCD,Africa,Chad,2023-10-12,434.343,10.946,17723315.0,15.454166,18.732207
40,CHL,South America,Chile,2023-10-12,269787.198,3142.615,19603733.0,-35.675147,-71.542969
41,CHN,Asia,China,2023-10-12,69651.453,85.366,1425887337.0,35.86166,104.195397
42,COL,South America,Colombia,2023-10-12,123024.377,2755.56,51874024.0,4.570868,-74.297333
43,COM,Africa,Comoros,2023-10-12,10885.737,191.208,836774.0,-11.875001,43.872219
44,COK,Oceania,Cook Islands,2023-10-12,420267.731,117.426,17011.0,-21.236736,-159.777671
45,CRI,North America,Costa Rica,2023-10-12,239128.202,1819.784,5180829.0,9.748917,-83.753428
46,HRV,Europe,Croatia,2023-10-12,316487.531,4554.927,4030358.0,45.1,15.2
47,CUB,North America,Cuba,2023-10-12,99454.451,760.779,11212191.0,21.521757,-77.781167
48,CYP,Europe,Cyprus,2023-10-12,737554.506,1522.31,1251488.0,35.126413,33.429859
49,DNK,Europe,Denmark,2023-10-12,580902.167,1500.104,5882261.0,56.26392,9.501785
50,DJI,Africa,Djibouti,2023-10-12,13998.292,168.622,1120849.0,11.825138,42.590275
51,DMA,North America,Dominica,2023-10-12,216608.483,1017.07,72737.0,15.414999,-61.370976
52,DOM,North America,Dominican Republic,2023-10-12,59407.216,390.424,11228821.0,18.735693,-70.162651
53,ECU,South America,Ecuador,2023-10-12,59393.305,2002.277,18001000.0,-1.831239,-78.183406
54,EGY,Africa,Egypt,2023-10-12,4649.271,223.714,110990103.0,26.820553,30.802498
55,SLV,North America,El Salvador,2023-10-12,31849.035,667.572,6336392.0,13.794185,-88.89653
56,GNQ,Africa,Equatorial Guinea,2023-10-12,10227.379,109.259,1674908.0,1.650801,10.267895
57,ERI,Africa,Eritrea,2023-10-12,2765.713,27.958,3684032.0,15.179384,39.782334
58,EST,Europe,Estonia,2023-10-12,454116.091,2188.431,1326062.0,58.595272,25.013607
59,ETH,Africa,Ethiopia,2023-10-12,4061.114,61.388,123379924.0,9.145,40.489673
60,FJI,Oceania,Fiji,2023-10-12,74262.532,951.849,929766.0,-16.578193,179.414413
61,FIN,Europe,Finland,2023-10-12,268210.141,1852.639,5540745.0,61.92411,25.748151
62,FRA,Europe,France,2023-10-12,603427.621,2599.316,64626628.0,46.227638,2.213749
63,GUF,South America,French Guiana,2023-10-12,321901.841,1356.019,304557.0,3.933889,-53.125782
64,PYF,Oceania,French Polynesia,2023-10-12,256722.343,2118.893,306279.0,-17.679742,-149.406843
65,GAB,Africa,Gabon,2023-10-12,20507.351,128.506,2388992.0,-0.803689,11.609444
66,GMB,Africa,Gambia,2023-10-12,4665.936,137.473,2705992.0,13.443182,-15.310139
67,GEO,Asia,Georgia,2023-10-12,495485.64,4575.384,3744385.0,42.315407,43.356892
68,DEU,Europe,Germany,2023-10-12,461051.095,2098.829,83369843.0,51.165691,10.451526
69,GHA,Africa,Ghana,2023-10-12,5127.664,43.673,33475870.000000004,7.946527,-1.023194
70,GIB,Europe,Gibraltar,2023-10-12,628882.7,3458.09,32649.0,36.137741,-5.345374
71,GRC,Europe,Greece,2023-10-12,520535.058,3617.92,10384971.0,39.074208,21.824312
72,GRL,North America,Greenland,2023-10-12,211898.609,371.721,56466.0,71.706936,-42.604303
73,GRD,North America,Grenada,2023-10-12,156967.615,1897.034,125438.0,12.262776,-61.604171
74,GLP,North America,Guadeloupe,2023-10-12,513528.333,2579.833,395752.0,16.995971,-62.067641
