,iso_code,continent,location,date,total_cases_per_million,total_deaths_per_million,population
186,SUR,South America,Suriname,2023-10-12,133627.594,2278.148,618040.0
187,SWE,Europe,Sweden,2023-10-12,257564.803,2354.079,10549347.0
188,CHE,Europe,Switzerland,2023-10-12,504944.413,1608.037,8740472.0
189,SYR,Asia,Syria,2023-10-12,2595.361,142.959,22125249.0
190,TJK,Asia,Tajikistan,2023-10-12,1787.037,12.559,9952787.0
191,TZA,Africa,Tanzania,2023-10-12,657.702,12.916,65497748.0
192,THA,Asia,Thailand,2023-10-12,66357.064,480.899,71697030.0
193,TGO,Africa,Togo,2023-10-12,4466.419,32.773,8848699.0
194,TON,Oceania,Tonga,2023-10-12,157457.4,112.289,106858.0
195,TTO,North America,Trinidad and Tobago,2023-10-12,125075.52,2867.326,1531044.0
196,TUN,Africa,Tunisia,2023-10-12,93343.329,2381.25,12356117.0
197,TUR,Asia,Turkey,2023-10-12,199255.078,1188.394,85341241.0
198,TCA,North America,Turks and Caicos Islands,2023-10-12,144994.095,852.906,45703.0
199,TUV,Oceania,Tuvalu,2023-10-12,259638.288,88.222,11312.0
200,UGA,Africa,Uganda,2023-10-12,3637.513,76.868,47249585.0
201,UKR,Europe,Ukraine,2023-10-12,139048.879,2768.594,39701739.0
202,ARE,Asia,United Arab Emirates,2023-10-12,113019.214,248.805,9441129.0
203,GBR,Europe,United Kingdom,2023-10-12,366526.1,3403.475,67508936.0
204,USA,North America,United States,2023-10-12,305763.91,3331.912,338289857.0
205,VIR,North America,United States Virgin Islands,2023-10-12,255219.695,1326.913,99465.0
206,URY,South America,Uruguay,2023-10-12,303622.535,2230.34,3422794.0
207,UZB,Asia,Uzbekistan,2023-10-12,5028.439,29.341,34627652.0
208,VUT,Oceania,Vanuatu,2023-10-12,36784.149,42.847,326740.0
209,VEN,South America,Venezuela,2023-10-12,19528.686,206.913,28301696.0
210,VNM,Asia,Vietnam,2023-10-12,118384.939,440.039,98186856.0
211,WLF,Oceania,Wallis and Futuna,2023-10-12,306140.048,689.893,11572.0
212,YEM,Asia,Yemen,2023-10-12,354.487,64.072,33696614.0
213,ZMB,Africa,Zambia,2023-10-12,17448.934,203.27,20017675.0
214,ZWE,Africa,Zimbabwe,2023-10-12,16284.45,350.356,16320537.0
